Make,Model,Variant,sale_quantity,sale_month,Ex_Showroom_Price,Displacement,Type,Emission_Norm,Fuel_Type,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Seating_Capacity,Airbags,Number_of_Airbags,Body_Type,Height,Length,Width,Fuel_System,Total_revenue,Price_Range
Renault,Kwid,Rxe 0.8,4.328,12,0.35329,799.0,Manual,BS VI,Petrol,25.169999999999998,,5.0,Driver frontal airbag,1,Hatchback,1490.0,3731,1579.0,Injection,1.52903912,Low Price Range
Renault,Kwid,Std 0.8,3.914,12,0.28329,799.0,Manual,BS VI,Petrol,25.169999999999998,,5.0,Driver frontal airbag,1,Hatchback,1490.0,3731,1579.0,Injection,1.10879706,Low Price Range
Renault,Kwid,Rxl 0.8,2.25,3,0.38329,799.0,Manual,BS VI,Petrol,25.169999999999998,,5.0,Driver frontal airbag,1,Hatchback,1490.0,3731,1579.0,Injection,0.8624025,Low Price Range
Renault,Kwid,Rxt 0.8,4.396,3,0.41329,799.0,Manual,BS VI,Petrol,25.169999999999998,,5.0,Driver frontal airbag,1,Hatchback,1490.0,3731,1580.0,Injection,1.81682284,Low Price Range
Renault,Kwid,Rxt 1.0,7.071,7,0.43329,999.0,Manual,BS VI,Petrol,23.009999999999998,,5.0,Driver frontal airbag,1,Hatchback,1490.0,3731,1579.0,Injection,3.06379359,Low Price Range
Renault,Kwid,Climber 1.0 Mt,6.686,7,0.45449,999.0,Manual,BS VI,Petrol,23.009999999999998,,5.0,Driver frontal airbag,1,Hatchback,1490.0,3731,1579.0,Injection,3.03872014,Low Price Range
Renault,Kwid,Rxt Amt 1.0,8.356,8,0.46329,999.0,Automatic,BS VI,Petrol,24.04,,5.0,Driver frontal airbag,1,Hatchback,1490.0,3731,1579.0,Injection,3.87125124,Low Price Range
Renault,Kwid,Climber Amt 1.0,10.304,5,0.48449,999.0,Automatic,BS VI,Petrol,24.04,,5.0,Driver frontal airbag,1,Hatchback,1490.0,3731,1579.0,Injection,4.99218496,Low Price Range
Renault,Kwid,Rxt (O) 1.0,9.036,10,0.44099,999.0,Manual,BS VI,Petrol,23.009999999999998,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1490.0,3731,1579.0,Injection,3.98478564,Low Price Range
Renault,Kwid,Rxt (O) Amt 1.0,10.126,10,0.47099,999.0,Automatic,BS VI,Petrol,23.009999999999998,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1490.0,3731,1579.0,Injection,4.76924474,Low Price Range
Renault,Kwid,Climber (O) Mt 1.0,9.246,10,0.46219,999.0,Manual,BS VI,Petrol,23.009999999999998,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1490.0,3731,1579.0,Injection,4.27340874,Low Price Range
Renault,Kwid,Climber (O) Amt 1.0,10.28,10,0.49219,999.0,Automatic,BS VI,Petrol,24.04,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1490.0,3731,1579.0,Injection,5.0597132,Low Price Range
Maruti Suzuki,Eeco,5 Str,20.023,5,0.352136,1196.0,Manual,BS VI,Petrol,15.0,,5.0,Driver frontal airbag,1,MPV,1800.0,3675,1475.0,Injection,7.050819128,Low Price Range
Maruti Suzuki,Eeco,7 Str,19.3,3,0.380573,1196.0,Manual,BS VI,Petrol,15.0,,7.0,Driver frontal airbag,1,MPV,1800.0,3675,1475.0,Injection,7.3450589,Low Price Range
Maruti Suzuki,Eeco,5 Str With Ac+Htr,10.064,7,0.392967,1196.0,Manual,BS VI,Petrol,15.0,,5.0,No airbag,0,MPV,1800.0,3675,1475.0,Injection,3.954819888,Low Price Range
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,14.06,4,0.466057,1196.0,Manual,BS VI,CNG,,20.0,5.0,Driver frontal airbag,1,MPV,1800.0,3675,1475.0,Injection,6.55276142,Low Price Range
Maruti Suzuki,Eeco,5 Str With Htr Cng,10.196,9,0.425255,1196.0,Manual,BS VI,CNG,,20.0,5.0,Driver frontal airbag,1,MPV,1800.0,3675,1475.0,Injection,4.33589998,Low Price Range
Maruti Suzuki,Alto K10,Lxi,15.767,4,0.377588,998.0,Manual,BS IV,Petrol,24.07,,5.0,Driver frontal airbag,1,Hatchback,1475.0,3545,1490.0,Injection,5.953429996,Low Price Range
Maruti Suzuki,Alto K10,Vxi,8.158,3,0.394036,998.0,Manual,BS IV,Petrol,24.07,,5.0,Driver frontal airbag,1,Hatchback,1475.0,3545,1490.0,Injection,3.214545688,Low Price Range
Maruti Suzuki,Alto K10,Lx,9.017,9,0.360843,998.0,Manual,BS IV,Petrol,24.07,,5.0,Driver frontal airbag,1,Hatchback,1475.0,3545,1490.0,Injection,3.253721331,Low Price Range
Maruti Suzuki,Alto K10,Vxi (O),9.891,4,0.407238,998.0,Manual,BS IV,Petrol,24.07,,5.0,Driver frontal airbag,1,Hatchback,1460.0,3620,1475.0,Injection,4.027991058,Low Price Range
Maruti Suzuki,Alto K10,Lxi Cng (O),9.699,4,0.439777,998.0,Manual,BS IV,CNG,,32.260000000000005,5.0,Driver frontal airbag,1,Hatchback,1475.0,3545,1490.0,Injection,4.265397123,Low Price Range
Maruti Suzuki,Alto K10,Vxi Amt (O),9.217,2,0.438559,998.0,Automatic,BS IV,Petrol,24.07,,5.0,Driver frontal airbag,1,Hatchback,1475.0,3545,1490.0,Injection,4.042198303,Low Price Range
Datsun,Go,D,5.574,12,0.37499,1198.0,Manual,BS IV,Petrol,20.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1507.0,3788,1636.0,Injection,2.09019426,Low Price Range
Datsun,Go,T,4.778,12,0.468229,1198.0,Manual,BS IV,Petrol,20.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",yp,Hatchback,1507.0,3788,1636.0,Injection,2.237198162,Low Price Range
Datsun,Go,T (O),4.085,4,0.502492,1198.0,Manual,BS IV,Petrol,20.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1507.0,3788,1636.0,Injection,2.05267982,Low Price Range
Datsun,Go,A (O),3.552,9,0.49999,1198.0,Manual,BS IV,Petrol,20.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1507.0,3788,1636.0,Injection,1.77596448,Low Price Range
Datsun,Go,A,6.155,10,0.46999,1198.0,Manual,BS IV,Petrol,20.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1507.0,3788,1636.0,Injection,2.89278845,Low Price Range
Datsun,Go,T Vdc,2.735,5,0.528464,1198.0,Manual,BS IV,Petrol,20.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1507.0,3788,1636.0,Injection,1.44534904,Low Price Range
Datsun,Go,T (O) Vdc,1.466,4,0.553015,1198.0,Manual,BS IV,Petrol,20.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1507.0,3788,1636.0,Injection,0.81071999,Low Price Range
Datsun,Go,T Cvt,4.016,12,0.594464,1198.0,Manual,BS IV,Petrol,20.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1507.0,3788,1636.0,Injection,2.387367424,Low Price Range
Datsun,Go,T (O) Cvt,6.852,7,0.618015,1198.0,Manual,BS IV,Petrol,20.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1507.0,3788,1636.0,Injection,4.23463878,Low Price Range
Maruti Suzuki,Celerio Tour,H2,6.453,3,0.422444,998.0,Manual,BS IV,Petrol,23.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1560.0,3600,1600.0,Injection,2.726031132,Low Price Range
Maruti Suzuki,Celerio Tour,H2 Cng,3.138,10,0.48067,998.0,Manual,BS IV,CNG,,31.76,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1560.0,3695,1600.0,Injection,1.50834246,Low Price Range
Hyundai,Santro,Era Mt,2.309,12,0.42999,1086.0,Manual,BS IV,Petrol,20.3,,5.0,Driver frontal airbag,1,Hatchback,1560.0,3610,1645.0,Injection,0.99284691,Low Price Range
Hyundai,Santro,Magna Mt,3.035,11,0.50399,1086.0,Manual,BS IV,Petrol,20.3,,5.0,Driver frontal airbag,1,Hatchback,1560.0,3610,1645.0,Injection,1.52960965,Low Price Range
Hyundai,Santro,Magna Mt Cng,2.788,11,0.54799,1086.0,Manual,BS IV,CNG,,30.48,5.0,Driver frontal airbag,1,Hatchback,1560.0,3610,1645.0,Injection,1.52779612,Low Price Range
Hyundai,Santro,Magna Amt,2.662,11,0.53099,1086.0,AMT,BS IV,Petrol,20.3,,5.0,Driver frontal airbag,1,Hatchback,1560.0,3610,1645.0,Injection,1.41349538,Low Price Range
Hyundai,Santro,Sportz Mt,1.229,11,0.51299,1086.0,Manual,BS IV,Petrol,20.3,,5.0,Driver frontal airbag,1,Hatchback,1560.0,3610,1645.0,Injection,0.63046471,Low Price Range
Hyundai,Santro,Sportz Mt Cng,1.565,7,0.57899,1086.0,Manual,BS IV,CNG,,30.48,5.0,Driver frontal airbag,1,Hatchback,1560.0,3610,1645.0,Injection,0.90611935,Low Price Range
Hyundai,Santro,Sportz Amt,1.902,6,0.57099,1086.0,AMT,BS IV,Petrol,20.3,,5.0,Driver frontal airbag,1,Hatchback,1560.0,3610,1645.0,Injection,1.08602298,Low Price Range
Hyundai,Santro,Asta Mt,3.172,8,0.55649,1086.0,Manual,BS IV,Petrol,20.3,,5.0,"Front passenger frontal airbag, Driver frontal airbag",2,Hatchback,1560.0,3610,1645.0,Injection,1.76518628,Low Price Range
Tata,Tiago,Revotron Xe,6.4,4,0.46,1199.0,Manual,BS VI,Petrol,23.0,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1535.0,3765,1677.0,Injection,2.944,Low Price Range
Tata,Tiago,Revotron Xt,7.977,11,0.52,1199.0,Manual,BS VI,Petrol,23.0,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1535.0,3746,1647.0,Injection,4.14804,Low Price Range
Tata,Tiago,Revotron Xz,8.379,12,0.57,1199.0,Manual,BS VI,Petrol,23.0,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1535.0,3746,1647.0,Injection,4.77603,Low Price Range
Tata,Tiago,Revotron Xz Plus,9.612,5,0.599,1199.0,Manual,BS VI,Petrol,23.0,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1535.0,3746,1647.0,Injection,5.757588,Low Price Range
Tata,Tiago,Revotron Xz Plus Dual Tone,10.016,12,0.61,1199.0,Manual,BS VI,Petrol,23.0,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1535.0,3746,1647.0,Injection,6.10976,Low Price Range
Tata,Tiago,Revotron Xza,10.516,8,0.62,1199.0,AMT,BS VI,Petrol,24.0,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1535.0,3746,1647.0,Injection,6.51992,Low Price Range
Tata,Tiago,Revotron Xza Plus,10.05,9,0.649,1199.0,AMT,BS VI,Petrol,24.0,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1535.0,3746,1647.0,Injection,6.52245,Low Price Range
Tata,Tiago,Revotron Xza Plus Dual Tone,10.118,3,0.66,1199.0,AMT,BS VI,Petrol,24.0,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1535.0,3746,1647.0,Injection,6.67788,Low Price Range
Maruti Suzuki,Celerio X,Vxi (O),4.337,6,0.481074,998.0,Manual,BS IV,Petrol,23.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1560.0,3600,1600.0,Injection,2.086417938,Low Price Range
Maruti Suzuki,Celerio X,Vxi,3.265,4,0.475198,998.0,Manual,BS IV,Petrol,23.1,,5.0,Driver frontal airbag,1,Hatchback,1560.0,3600,1600.0,Injection,1.55152147,Low Price Range
Maruti Suzuki,Celerio X,Vxi Amt,5.1,10,0.518198,998.0,Automatic,BS IV,Petrol,23.1,,5.0,Driver frontal airbag,1,Hatchback,1560.0,3600,1600.0,Injection,2.6428098,Low Price Range
Maruti Suzuki,Celerio X,Vxi Amt (O),3.086,6,0.524074,998.0,Automatic,BS IV,Petrol,23.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1560.0,3600,1600.0,Injection,1.617292364,Low Price Range
Maruti Suzuki,Celerio X,Zxi,5.875,1,0.499734,998.0,Manual,BS IV,Petrol,23.1,,5.0,Driver frontal airbag,1,Hatchback,1560.0,3600,1600.0,Injection,2.93593725,Low Price Range
Maruti Suzuki,Celerio X,Zxi (O),3.492,5,0.54035,998.0,Manual,BS IV,Petrol,23.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1560.0,3600,1600.0,Injection,1.8869022,Low Price Range
Maruti Suzuki,Celerio X,Zxi Amt,4.644,8,0.542735,998.0,Automatic,BS IV,Petrol,23.1,,5.0,Driver frontal airbag,1,Hatchback,1560.0,3600,1600.0,Injection,2.52046134,Low Price Range
Maruti Suzuki,Celerio X,Zxi Amt (O),5.199,10,0.55235,998.0,Automatic,BS IV,Petrol,23.1,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1560.0,3600,1600.0,Injection,2.87166765,Low Price Range
Maruti Suzuki,Ignis,Alpha 1.2 Amt,3.22,2,0.713898,1197.0,AMT,BS IV,Petrol,20.89,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1595.0,3700,1690.0,Injection,2.29875156,Low Price Range
Maruti Suzuki,Ignis,Alpha 1.2 Mt,2.814,8,0.666898,1197.0,Manual,BS IV,Petrol,20.89,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1595.0,3700,1690.0,Injection,1.876650972,Low Price Range
Maruti Suzuki,Ignis,Delta 1.2 Amt,2.825,10,0.607841,1197.0,AMT,BS IV,Petrol,20.89,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1595.0,3700,1690.0,Injection,1.717150825,Low Price Range
Maruti Suzuki,Ignis,Delta 1.2 Mt,1.72,8,0.560841,1197.0,Manual,BS IV,Petrol,20.89,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1595.0,3700,1690.0,Injection,0.96464652,Low Price Range
Maruti Suzuki,Ignis,Sigma 1.2 Mt,5.988,6,0.48332,1197.0,Manual,BS IV,Petrol,20.89,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1595.0,3700,1690.0,Injection,2.89412016,Low Price Range
Maruti Suzuki,Ignis,Zeta 1.2 Amt,1.981,10,0.63032,1197.0,AMT,BS IV,Petrol,20.89,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1595.0,3700,1690.0,Injection,1.24866392,Low Price Range
Maruti Suzuki,Ignis,Zeta 1.2 Mt,1.653,12,0.58332,1197.0,Manual,BS IV,Petrol,20.89,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1595.0,3700,1690.0,Injection,0.96422796,Low Price Range
Renault,Triber,Rxe,3.589,1,0.495,999.0,Manual,BS VI,Petrol,20.5,,7.0,"Driver frontal airbag, Front passenger frontal airbag",2,MUV,1643.0,3990,1739.0,Injection,1.776555,Low Price Range
Renault,Triber,Rxl,4.314,7,0.559,999.0,Manual,BS VI,Petrol,20.5,,7.0,"Driver frontal airbag, Front passenger frontal airbag",2,MUV,1643.0,3990,1739.0,Injection,2.411526,Low Price Range
Renault,Triber,Rxt,5.11,2,0.609,999.0,Manual,BS VI,Petrol,20.5,,7.0,"Driver frontal airbag, Front passenger frontal airbag",2,MUV,1643.0,3990,1739.0,Injection,3.11199,Low Price Range
Renault,Triber,Rxz,6.158,2,0.663,999.0,Manual,BS VI,Petrol,20.5,,7.0,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4,MUV,1643.0,3990,1739.0,Injection,4.082754,Low Price Range
Premier,Rio,Gx,0.564,12,0.506,1173.0,Manual,BS IV,Petrol,16.0,,5.0,No airbag,0,SUV,1730.0,3970,1570.0,Injection,0.285384,Low Price Range
Premier,Rio,Ex,1.035,5,0.568623,1489.0,Manual,BS IV,Diesel,16.0,,5.0,No airbag,0,SUV,1730.0,3970,1570.0,Injection,0.588524805,Low Price Range
Premier,Rio,Glx,1.712,5,0.67,1173.0,Manual,BS IV,Petrol,16.0,,5.0,No airbag,0,SUV,1730.0,3970,1570.0,Injection,1.14704,Low Price Range
Premier,Rio,Dx,1.026,3,0.603,1489.0,Manual,BS IV,Diesel,16.0,,5.0,No airbag,0,SUV,1730.0,3970,1570.0,Injection,0.618678,Low Price Range
Premier,Rio,Lx,1.284,3,0.739,1489.0,Manual,BS IV,Diesel,16.0,,5.0,No airbag,0,SUV,1730.0,3970,1570.0,Injection,0.948876,Low Price Range
Premier,Rio,Crdi4,0.936,11,0.739,1248.0,Manual,BS IV,Diesel,23.7,,5.0,No airbag,0,SUV,1730.0,3970,1570.0,Injection,0.691704,Low Price Range
Toyota,Etios Liva,G,2.214,8,0.5203,1197.0,Manual,BS IV,Petrol,18.16,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,1.1519442,Low Price Range
Toyota,Etios Liva,V,1.341,9,0.581,1197.0,Manual,BS IV,Petrol,18.16,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,0.779121,Low Price Range
Toyota,Etios Liva,Gd,5.765,12,0.6478,1364.0,Manual,BS IV,Diesel,23.59,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,3.734567,Low Price Range
Toyota,Etios Liva,Vx,4.259,9,0.63,1197.0,Manual,BS IV,Petrol,18.16,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,2.68317,Low Price Range
Toyota,Etios Liva,Vxd,5.894,10,0.745,1364.0,Manual,BS IV,Diesel,23.59,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,4.39103,Low Price Range
Toyota,Etios Liva,Vd,6.501,10,0.704,1364.0,Manual,BS IV,Diesel,23.59,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,4.576704,Low Price Range
Toyota,Etios Liva,Dual Tone V,5.698,10,0.5977,1197.0,Manual,BS IV,Petrol,18.16,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,3.4056946,Low Price Range
Toyota,Etios Liva,Dual Tone Vd,6.416,10,0.7207,1364.0,Manual,BS IV,Diesel,23.59,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,4.6240112,Low Price Range
Toyota,Etios Liva,Dual Tone Vx,4.504,4,0.6417,1197.0,Manual,BS IV,Petrol,18.16,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,2.8902168,Low Price Range
Toyota,Etios Liva,Dual Tone Vxd,2.369,3,0.7567,1364.0,Manual,BS IV,Diesel,23.59,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,1.7926223,Low Price Range
Toyota,Etios Liva,Gx,3.468,9,0.5584,1197.0,Manual,BS IV,Petrol,18.16,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,1.9365312,Low Price Range
Toyota,Etios Liva,Gxd,7.657,9,0.686,1364.0,Manual,BS IV,Diesel,23.59,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,5.252702,Low Price Range
Toyota,Etios Liva,Vx Dual Tone Limited Edition,2.496,9,0.6627,1197.0,Manual,BS IV,Petrol,18.16,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,1.6540992,Low Price Range
Toyota,Etios Liva,Vxd Dual Tone Limited Edition,2.295,9,0.7777,1364.0,Manual,BS IV,Diesel,23.59,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1510.0,3884,1695.0,Injection,1.7848215,Low Price Range
Nissan,Micra Active,Xl,2.512,2,0.525021,1198.0,Manual,BS IV,Petrol,18.97,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1530.0,3801,1665.0,Injection,1.318852752,Low Price Range
Nissan,Micra Active,Xv,1.105,11,0.59995,1198.0,Manual,BS IV,Petrol,19.490000000000002,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1530.0,3801,1665.0,Injection,0.66294475,Low Price Range
Nissan,Micra Active,Xl (O),1.336,3,0.563133,1198.0,Manual,BS IV,Petrol,18.97,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1530.0,3801,1665.0,Injection,0.752345688,Low Price Range
Tata,Bolt,Xt Diesel,1.528,12,0.78798,1248.0,Manual,BS IV,Diesel,22.95,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1562.0,3825,1695.0,Injection,1.20403344,Low Price Range
Tata,Bolt,Xe Diesel,1.289,11,0.661111,1248.0,Manual,BS IV,Diesel,22.95,,5.0,No airbag,0,Hatchback,1562.0,3825,1695.0,Injection,0.852172079,Low Price Range
Tata,Bolt,Xm Diesel,0.721,7,0.693798,1248.0,Manual,BS IV,Diesel,22.95,,5.0,No airbag,0,Hatchback,1562.0,3825,1695.0,Injection,0.500228358,Low Price Range
Tata,Bolt,Xms Diesel,1.201,7,0.719661,1248.0,Manual,BS IV,Diesel,22.95,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1562.0,3825,1695.0,Injection,0.864312861,Low Price Range
Tata,Bolt,Xt Petrol,0.84,9,0.67496,1193.0,Manual,BS IV,Petrol,17.57,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1562.0,3825,1695.0,Injection,0.5669664,Low Price Range
Tata,Bolt,Xe Petrol,0.428,9,0.529035,1193.0,Manual,BS IV,Petrol,17.57,,5.0,No airbag,0,Hatchback,1562.0,3825,1695.0,Injection,0.22642698,Low Price Range
Tata,Bolt,Xm Petrol,0.345,12,0.590268,1193.0,Manual,BS IV,Petrol,17.57,,5.0,No airbag,0,Hatchback,1562.0,3825,1695.0,Injection,0.20364246,Low Price Range
Tata,Bolt,Xms Petrol,0.382,8,0.614515,1193.0,Manual,BS IV,Petrol,17.57,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1562.0,3825,1695.0,Injection,0.23474473,Low Price Range
Hyundai,Xcent Prime,Cng T + (Cng +,6.244,1,0.55613,1197.0,Manual,BS IV,CNG + Petrol,,25.0,5.0,No airbag,0,Sedan,1520.0,3995,1660.0,Injection,3.47247572,Low Price Range
Hyundai,Xcent Prime,T,5.425,4,0.536859,1197.0,Manual,BS IV,Petrol,15.7,,5.0,No airbag,0,Sedan,1520.0,3995,1660.0,Injection,2.912460075,Low Price Range
Hyundai,Xcent Prime,T+,4.122,10,0.55613,1197.0,Manual,BS IV,Petrol,18.25,,5.0,No airbag,0,Sedan,1520.0,3995,1660.0,Injection,2.29236786,Low Price Range
Hyundai,Xcent Prime,Cng T (Cng +,5.481,12,0.536859,1197.0,Manual,BS IV,CNG + Petrol,,25.0,5.0,No airbag,0,Sedan,1520.0,3995,1660.0,Injection,2.942524179,Low Price Range
Hyundai,Xcent Prime,T+ Crdi,4.271,8,0.639616,1197.0,Manual,BS IV,Diesel,20.14,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Sedan,1520.0,3995,1660.0,Injection,2.731799936,Low Price Range
Hyundai,Xcent Prime,T Crdi,2.469,12,0.620297,1197.0,Manual,BS IV,Diesel,20.0,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Sedan,1520.0,3995,1660.0,Injection,1.531513293,Low Price Range
Maruti Suzuki,Dzire Tour,Ldi,6.637,8,0.653523,1248.0,Manual,BS IV,Diesel,28.4,,5.0,No airbag,0,Sedan,1555.0,3995,1695.0,Injection,4.337432151,Low Price Range
Maruti Suzuki,Dzire Tour,Lxi,6.319,9,0.553423,1197.0,Manual,BS IV,Petrol,22.0,,5.0,No airbag,0,Sedan,1555.0,3995,1695.0,Injection,3.497079937,Low Price Range
Maruti Suzuki,Dzire Tour,Lxi Cng,5.16,2,0.59894,1197.0,Manual,BS IV,CNG,,26.6,5.0,No airbag,0,Sedan,1555.0,3995,1695.0,Injection,3.0905304,Low Price Range
Hyundai,Elite I20,Era 1.2,6.38,11,0.559693,1197.0,Manual,BS IV,Petrol,18.6,,5.0,"Driver frontal airbag, Front passenger frontal airbag",2,Hatchback,1505.0,3995,1710.0,Injection,3.57084134,Low Price Range
